Ship,date,Latitude,Longitude,Temp (air),Temp (sea),mBar,Weather,Wind,Strength (Wind),Sea (Waves),Ice,Blue Whales,Finn Whales,Humpback Whale,Sperm Whales,Sei Whale,,,,,,,
Solglimt,10/23/1932,-54.100,5.100,,,979,l,N,3,3,,10,0,0,,,,,,,,,
Solglimt,10/24/1932,-53.583,4.800,,,986,d,NW,4,3,,4,0,0,,,,,,,,,
Solglimt,10/25/1932,-53.300,4.000,,,993,d,NW,4,4,,2,0,0,,,,,,,,,
Solglimt,10/26/1932,-53.617,3.600,,,994,c,WSW,3,3,,4,0,0,,,,,,,,,
Solglimt,10/27/1932,-53.400,3.333,,,1018,d,WNW,2,2,,6,0,0,,,,,,,,,
Solglimt,10/28/1932,-53.650,3.233,,,987,d,WNW,3,3,,8,0,0,,,,,,,,,
Solglimt,10/29/1932,-53.733,2.250,,,1002,e,NNW,3,2,,7,0,0,,,,,,,,,
Solglimt,10/30/1932,-53.617,1.800,,,1013,e,E,1,3,,3,1,0,,,,,,,,,
Solglimt,10/31/1932,-53.550,1.950,,,995,i,N,3,2,,10,0,0,,,,,,,,,
Solglimt,11/1/1932,-53.650,1.433,,,974,i,NNW,3,3,,5,0,0,,,,,,,,,
Solglimt,11/2/1932,-53.883,0.683,,,990,g,SW,4,4,,6,0,0,,,,,,,,,
Solglimt,11/3/1932,-54.150,0.350,,,997,e,S,3,3,,11,0,0,,,,,,,,,
Solglimt,11/4/1932,-54.233,0.200,,,986,d,SSE,2,1,,9,0,0,,,,,,,,,
Solglimt,11/5/1932,-54.217,0.033,,,991,e,NNW,3,3,,5,1,0,,,,,,,,,
Solglimt,11/6/1932,-54.517,0.633,,,985,i,N,5,3,,3,0,0,,,,,,,,,
Solglimt,11/7/1932,-54.133,1.433,,,999,c,W,2,4,,7,0,0,,,,,,,,,
Solglimt,11/8/1932,-54.017,1.867,,,1004,d,N,2,3,,9,0,0,,,,,,,,,
Solglimt,11/9/1932,-54.350,2.700,,,972,h,NW,5,4,,6,0,0,,,,,,,,,
Solglimt,11/10/1932,-54.350,3.750,,,991,il,N,3,3,,1,0,0,,,,,,,,,
Solglimt,11/11/1932,-54.233,4.817,,,962,d,W,5,4,,5,0,0,,,,,,,,,
Solglimt,11/12/1932,-54.783,5.450,,,984,d,SE,2,4,,9,0,0,,,,,,,,,
Solglimt,11/13/1932,-54.617,5.083,,,998.5,l,N,2,3,,10,0,0,,,,,,,,,
Solglimt,11/14/1932,-54.883,5.117,,,982,d,W,2,2,,6,0,0,,,,,,,,,
Solglimt,11/15/1932,-55.167,5.817,,,975,d,W,3,3,,2,0,0,,,,,,,,,
Solglimt,11/16/1932,-55.033,5.917,,,989,d,SSW,2,2,,12,0,0,,,,,,,,,
Solglimt,11/17/1932,-54.917,5.900,,,1004,c,SW,2,2,,12,0,0,,,,,,,,,
Solglimt,11/18/1932,-55.150,6.067,,,988,l,NNE,4,2,,10,0,0,,,,,,,,,
Solglimt,11/19/1932,-55.283,6.017,,,981,d,WNW,3,3,,4,0,0,,,,,,,,,
Solglimt,11/20/1932,-55.200,6.600,,,989,d,WNW,3,3,,8,0,0,,,,,,,,,
Solglimt,11/21/1932,-55.517,7.150,,,971,l,N,3,2,,5,0,0,,,,,,,,,
Solglimt,11/22/1932,-55.450,7.400,,,975,d,SW,3,3,,7,0,0,,,,,,,,,
Solglimt,11/23/1932,-55.317,8.883,,,986,lg,W,3,2,,11,0,0,,,,,,,,,
Solglimt,11/24/1932,-54.750,9.467,,,990,d,SSW,2,3,,4,0,0,,,,,,,,,
Solglimt,11/25/1932,-54.783,10.000,,,995,d,NW,2,2,,9,0,0,,,,,,,,,
Solglimt,11/26/1932,-55.033,10.483,,,978,i,NNW,2,3,,5,0,0,,,,,,,,,
Solglimt,11/27/1932,-55.217,10.850,,,975,i,WNW,3,3,,6,0,0,,,,,,,,,
Solglimt,11/28/1932,-55.417,10.650,,,970,i,WNW,1,4,,11,0,0,,,,,,,,,
Solglimt,11/29/1932,-55.050,11.267,,,971,h,WNW,1,3,,10,0,0,,,,,,,,,
Solglimt,11/30/1932,-54.950,11.417,,,974,c,SW,2,3,,7,0,0,,,,,,,,,
Solglimt,12/1/1932,-55.033,12.317,,,977.5,c,WSW,3,3,,10,0,0,,,,,,,,,
Solglimt,12/2/1932,-55.200,12.650,,,977,c,SW,3,3,,9,0,0,,,,,,,,,
Solglimt,12/3/1932,-55.517,12.900,,,970,l,NE,3,3,,9,0,0,,,,,,,,,
Solglimt,12/4/1932,-55.667,13.433,,,963,l,WSW,3,3,,7,0,0,,,,,,,,,
Solglimt,12/5/1932,-55.733,13.967,,,958,d,WSW,4,3,,8,0,0,,,,,,,,,
Solglimt,12/6/1932,-55.483,14.850,,,957,d,W,3,3,,9,0,0,,,,,,,,,
Solglimt,12/7/1932,-55.183,15.150,,,972,lg,WNW,3,3,,9,0,0,,,,,,,,,
Solglimt,12/8/1932,-55.200,15.467,,,979,lg,W,3,2,,9,0,0,,,,,,,,,
Solglimt,12/9/1932,-55.233,15.217,,,988,d,WSW,2,1,,8,0,0,,,,,,,,,
Solglimt,12/10/1932,-55.267,15.567,,,992,b,W,1,2,,7,0,0,,,,,,,,,
Solglimt,12/11/1932,-55.217,15.800,,,992,h,NW,2,2,,10,0,0,,,,,,,,,
Solglimt,12/12/1932,-55.517,15.500,,,968,i,NE,2,3,,9,0,0,,,,,,,,,
Solglimt,12/13/1932,-55.533,16.183,,,972,d,W,3,4,,8,0,0,,,,,,,,,
Solglimt,12/14/1932,-55.317,16.433,,,977,d,W,3,2,,8,0,0,,,,,,,,,
Solglimt,12/15/1932,-55.283,17.000,,,984,d,WNW,2,2,,9,0,0,,,,,,,,,
Solglimt,12/16/1932,-55.217,17.217,,,990,b,S,1,2,,8,0,0,,,,,,,,,
Solglimt,12/17/1932,-55.117,17.083,,,999,d,W,1,2,,10,0,0,,,,,,,,,
Solglimt,12/18/1932,-55.017,17.300,,,1005,c,W,2,2,,11,0,0,,,,,,,,,
Solglimt,12/19/1932,-55.000,17.500,,,1010.5,d,W,2,2,,6,0,0,,,,,,,,,
Solglimt,12/20/1932,-55.233,17.550,,,1006,i,W,2,2,,10,0,0,,,,,,,,,
Solglimt,12/21/1932,-55.200,17.800,,,990,i,ENE,1,2,,9,0,0,,,,,,,,,
Solglimt,12/22/1932,-55.817,16.900,,,963,h,NW,3,3,,5,0,0,,,,,,,,,
Solglimt,12/23/1932,-56.883,16.317,,,956,lg,NW,4,4,,4,0,0,,,,,,,,,
Solglimt,12/24/1932,-57.750,17.817,,,969,d,W,3,3,,1,0,0,,,,,,,,,
Solglimt,12/25/1932,-57.833,17.717,,,970,lg,ESE,1,3,,0,0,0,,,,,,,,,
Solglimt,12/26/1932,-57.500,17.933,,,983,lg,SSW,3,3,,7,0,0,,,,,,,,,
Solglimt,12/27/1932,-58.367,18.033,,,995,b,WSW,3,3,,1,0,0,,,,,,,,,
Solglimt,12/28/1932,-58.667,14.933,,,986,i,WNW,3,3,,2,0,0,,,,,,,,,
Solglimt,12/29/1932,-58.617,12.917,,,993,h,WNW,3,3,,0,0,0,,,,,,,,,
Solglimt,12/30/1932,-58.350,12.950,,,974,l,NNE,3,2,,3,0,0,,,,,,,,,
Solglimt,12/31/1932,-57.367,12.850,,,1001,d,SW,3,3,,9,0,0,,,,,,,,,
Solglimt,1/1/1933,-57.450,12.567,,,990,h,ENE,2,3,,7,0,0,,,,,,,,,
Solglimt,1/2/1933,-57.617,11.817,,,973,l,ESE,3,2,,6,0,0,,,,,,,,,
Solglimt,1/3/1933,-57.483,11.283,,,984,d,SSE,2,2,,9,0,0,,,,,,,,,
Solglimt,1/4/1933,-57.533,11.433,,,991,c,W,2,2,,9,0,0,,,,,,,,,
Solglimt,1/5/1933,-57.250,11.800,,,990,d,WSW,2,2,,11,0,0,,,,,,,,,
Solglimt,1/6/1933,-57.267,12.117,,,996,lg,WSW,2,2,,10,0,0,,,,,,,,,
Solglimt,1/7/1933,-57.217,12.667,,,997,d,S,2,2,,8,1,0,,,,,,,,,
Solglimt,1/8/1933,-57.583,12.883,,,970,lg,SSE,3,3,,7,0,0,,,,,,,,,
Solglimt,1/9/1933,-58.100,13.167,,,982,c,SW,3,3,,7,0,0,,,,,,,,,
Solglimt,1/10/1933,-59.517,16.467,,,987,h,SSW,3,3,,0,0,0,,,,,,,,,
Solglimt,1/11/1933,-62.617,20.600,,,988,lg,E,3,2,,0,0,0,,,,,,,,,
Solglimt,1/12/1933,-64.950,27.017,,,996,lg,S,1,2,,1,0,0,1,,,,,,,,
Solglimt,1/13/1933,-66.417,32.017,,,995,d,S,2,1,,6,0,0,2,,,,,,,,
Solglimt,1/14/1933,-65.750,34.717,,,989,l,N,1,1,,7,2,0,1,,,,,,,,
Solglimt,1/15/1933,-65.500,36.483,,,988,d,SSW,2,2,,10,1,0,,,,,,,,,
Solglimt,1/16/1933,-65.600,36.817,,,995,b,SSW,2,1,,9,1,0,,,,,,,,,
Solglimt,1/17/1933,-65.933,36.367,,,985,d,ESE,2,1,,8,0,0,,,,,,,,,
Solglimt,1/18/1933,-66.067,35.667,,,990,b,E,2,3,,5,0,0,,,,,,,,,
Solglimt,1/19/1933,-65.850,36.617,,,995,d,ESE,3,3,,7,0,0,,,,,,,,,
Solglimt,1/20/1933,-65.417,38.200,,,994,d,SSE,2,3,,7,4,0,,,,,,,,,
Solglimt,1/21/1933,-65.250,38.850,,,996,d,ESE,2,2,,8,4,0,,,,,,,,,
Solglimt,1/22/1933,-65.217,39.117,,,998,l,Silent,0,2,,7,0,0,,,,,,,,,
Solglimt,1/23/1933,-65.367,40.333,,,992,b,S,2,3,,7,1,0,,,,,,,,,
Solglimt,1/24/1933,-65.383,41.233,,,991,d,SSW,2,3,,11,1,0,,,,,,,,,
Solglimt,1/25/1933,-65.933,41.583,,,988,a,SSW,2,2,,9,1,1,,,,,,,,,
Solglimt,1/26/1933,-66.000,41.383,,,986,d,NE,1,2,,6,1,0,,,,,,,,,
Solglimt,1/27/1933,-65.217,43.183,,,983,c,S,1,2,,8,1,0,,,,,,,,,
Solglimt,1/28/1933,-64.417,44.167,,,984,lg,SE,2,2,,12,0,0,,,,,,,,,
Solglimt,1/29/1933,-64.450,44.367,,,980,c,SE,2,2,,9,0,0,,,,,,,,,
Solglimt,1/30/1933,-64.500,44.533,,,979,d,SW,2,2,,8,2,0,,,,,,,,,
Solglimt,1/31/1933,-64.317,44.833,,,976,d,SW,2,2,,8,2,0,,,,,,,,,
Solglimt,2/1/1933,-64.533,47.150,,,983,d,SW,3,3,,4,0,0,,,,,,,,,
Solglimt,2/2/1933,-64.467,48.167,,,986,d,WSW,3,3,,4,0,0,,,,,,,,,
Solglimt,2/3/1933,-64.617,48.500,,,989,d,WSW,2,2,,4,0,0,,,,,,,,,
Solglimt,2/4/1933,-64.133,49.083,,,984,lg,W,2,3,,3,1,0,,,,,,,,,
Solglimt,2/5/1933,-63.583,50.633,,,986,d,W,2,3,,1,4,0,,,,,,,,,
Solglimt,2/6/1933,-63.600,51.267,,,985,il,WNW,1,3,,1,5,0,,,,,,,,,
Solglimt,2/7/1933,-63.967,52.150,,,972,lg,SE,4,4,,0,0,0,,,,,,,,,
Solglimt,2/8/1933,-63.583,48.633,,,986,h,S,2,2,,1,0,0,,,,,,,,,
Solglimt,2/9/1933,-64.850,45.117,,,997,d,ENE,2,1,,4,9,0,,,,,,,,,
Solglimt,2/10/1933,-65.133,44.717,,,998,d,WNW,1,2,,8,5,0,,,,,,,,,
Solglimt,2/11/1933,-65.250,43.867,,,995,h,NE,2,2,,6,2,0,,,,,,,,,
Solglimt,2/12/1933,-65.533,43.700,,,997,d,E,2,3,,7,5,0,,,,,,,,,
Solglimt,2/13/1933,-65.917,43.667,,,998,il,NE,1,2,,7,2,0,,,,,,,,,
Solglimt,2/14/1933,-66.117,43.017,,,985,i,E,4,3,,2,0,0,,,,,,,,,
Solglimt,2/15/1933,-66.350,42.233,,,979.5,h,E,5,5.5,,0,0,0,,,,,,,,,
Solglimt,2/16/1933,-66.017,43.183,,,968,lg,ESE,5,4,,0,0,0,,,,,,,,,
Solglimt,2/17/1933,-66.067,43.333,,,980,h,ESE,4,4,,0,0,0,,,,,,,,,
Solglimt,2/18/1933,-66.417,39.883,,,971,h,E,5,4,,0,0,0,,,,,,,,,
Solglimt,2/19/1933,-67.750,40.067,,,975,d,NE,4,4,,0,0,0,,,,,,,,,
Solglimt,2/20/1933,-67.767,36.550,,,983,d,ENE,3,3,,0,0,0,,,,,,,,,
Solglimt,2/21/1933,-67.100,35.333,,,982,d,ESE,2,2,,6,0,0,,,,,,,,,
Solglimt,2/22/1933,-67.133,36.683,,,963,i,E,5,5.5,,0,0,0,,,,,,,,,
Solglimt,2/23/1933,-67.733,29.350,,,977,h,ESE,3,3,,0,0,0,,,,,,,,,
Solglimt,2/24/1933,-68.500,23.500,,,986,lg,SE,3,3,,3,1,0,,,,,,,,,
Solglimt,2/25/1933,-68.400,22.683,,,989,d,SE,2,2,,1,5,0,,,,,,,,,
Solglimt,2/26/1933,-68.100,24.567,,,988,d,ESE,2,2,,3,3,0,,,,,,,,,
Solglimt,2/27/1933,-67.733,25.750,,,986,d,ESE,2,2,,3,2,0,,,,,,,,,
Solglimt,2/28/1933,-67.517,21.167,,,986,lg,NW,1,2,,7,4,0,,,,,,,,,
Solglimt,3/1/1933,-67.783,20.517,,,984,d,E,1,1,,6,3,0,,,,,,,,,
Solglimt,3/2/1933,-68.167,17.250,,,982,d,SE,4,3,,0,0,0,,,,,,,,,
Solglimt,3/3/1933,-67.917,15.217,,,985,d,SW,1,4,,6,2,0,,,,,,,,,
Solglimt,3/4/1933,-68.067,15.067,,,989,a,WSW,1,2,,11,0,0,,,,,,,,,
Solglimt,3/5/1933,-67.967,14.683,,,982.5,d,S,1,2,,12,0,0,,,,,,,,,
Solglimt,3/6/1933,-68.050,14.567,,,982,a,WSW,1,2,,10,1,0,,,,,,,,,
Solglimt,3/7/1933,-67.917,14.850,,,989,lg,NE,2,3,,2,5,0,,,,,,,,,
Solglimt,3/8/1933,-67.450,14.150,,,990,d,ENE,1,3,,4,5,0,,,,,,,,,
Solglimt,3/9/1933,-67.567,13.917,,,991,h,NE,2,3,,1,1,0,,,,,,,,,
Solglimt,3/10/1933,-67.883,13.783,,,998,d,N,2,3,,3,1,0,,,,,,,,,
Solglimt,3/11/1933,-67.967,13.167,,,1001,l,N,1,3,,1,8,0,,,,,,,,,
Solglimt,3/12/1933,-68.117,14.500,,,1003,d,S,1,2,,3,10,0,,,,,,,,,
Solglimt,3/13/1933,-68.150,14.850,,,1000,d,S,1,2,,3,9,0,,,,,,,,,
Solglimt,3/14/1933,-67.667,16.050,,,993.5,a,S,2,2,,0,11,0,,,,,,,,,
Solglimt,3/15/1933,-67.550,15.783,,,989,b,S,2,3,,2,10,0,,,,,,,,,
Solglimt,3/16/1933,-67.383,15.383,,,991,a,SE,2,3,,2,10,0,,,,,,,,,
Solglimt,3/17/1933,-67.233,15.033,,,983,lg,S,2,2,,0,11,0,,,,,,,,,
Solglimt,3/18/1933,-67.100,15.900,,,983,d,S,2,4,,1,6,0,,,,,,,,,
Solglimt,3/19/1933,-67.000,14.650,,,974,lg,SE,2,3,,0,5,0,,,,,,,,,
Solglimt,11/26/1935,-56.500,23.233,-2,-1.5,995.92,e,SW,5,2,D.G.K,0,0,0,1,,,,,,,,
Solglimt,11/27/1935,-56.733,23.650,0,-1.5,979.92,h,WNW,4,2,D.G.K,0,0,0,0,,,,,,,,
Solglimt,11/28/1935,-56.483,24.517,-2,-1.5,990.59,d,WSW,7,3,D.G.K,0,0,0,0,,,,,,,,
Solglimt,11/29/1935,-56.850,24.533,-1.8,-0.9,982.59,h,WNW,3,2,D.G.K,0,0,0,1,,,,,,,,
Solglimt,11/30/1935,-57.067,24.250,1,-1.3,974.59,i,WNW,2,1,D.G.K,0,0,0,0,,,,,,,,
Solglimt,12/1/1935,-57.150,24.400,-1,-1.3,978.59,h,NW,4,3,D.G.K,16,0,0,0,,,,,,,,
Solglimt,12/2/1935,-57.667,24.400,-1,-0.6,970.59,lg,NNW,4,3,C.K,15,1,0,0,,,,,,,,
Solglimt,12/3/1935,-57.967,24.117,-1.2,-1.3,954.59,lg,NNW,1,4,C.G.K,9,0,0,1,,,,,,,,
Solglimt,12/4/1935,-58.000,24.983,-0.5,-1.2,951.92,e,W,4,4,C.G.K,8,0,0,2,,,,,,,,
Solglimt,12/5/1935,-57.567,25.167,-1.1,-1.1,974.59,d,W,5,5,G.K,14,1,0,0,,,,,,,,
Solglimt,12/6/1935,-57.750,25.283,-1,-0.8,983.92,e,W,4,3,G.K,17,1,0,0,,,,,,,,
Solglimt,12/7/1935,-57.600,25.617,0.8,-0.7,983.92,hi,NW,1,2,G.K,13,7,0,0,,,,,,,,
Solglimt,12/8/1935,-57.733,25.150,0,-0.5,986.59,i,NW,1,2,G.K,2,12,6,0,,,,,,,,
Solglimt,12/9/1935,-58.067,24.950,-1,-0.1,1003.92,lg,N,4,3,D.G.K,5,10,6,0,,,,,,,,
Solglimt,12/10/1935,-58.467,24.917,-1,-1.2,990.59,hi,NW,3,4,C.G,9,2,4,0,,,,,,,,
Solglimt,12/11/1935,-58.583,25.200,-1,-1.2,993.25,hi,NW,5,4,G.K,4,1,0,0,,,,,,,,
Solglimt,12/12/1935,-58.633,25.300,0.5,-1,974.59,lg,NW,4,3,D.G.K,11,1,0,0,,,,,,,,
Solglimt,12/13/1935,-58.767,25.483,-1,-1.1,971.92,lg,NW,3,4,G.K,6,2,1,0,,,,,,,,
Solglimt,12/14/1935,-59.150,25.850,-1.5,-1.5,967.92,lg,N,2,2,D.G.K,8,2,3,0,,,,,,,,
Solglimt,12/15/1935,-59.383,25.767,-1,-0.8,970.59,lg,NW,2,2,G.K,7,7,6,0,,,,,,,,
Solglimt,12/16/1935,-59.300,26.100,0,-0.7,970.59,lg,NW,4,3,G.K,6,3,1,0,,,,,,,,
Solglimt,12/17/1935,-59.283,26.467,-0.4,-0.7,973.25,l,W,4,3,D.G.K,15,1,2,0,,,,,,,,
Solglimt,12/18/1935,-59.417,26.767,-1,-0.6,975.92,l,WSW,3,2,D.G.K,10,0,0,0,,,,,,,,
Solglimt,12/19/1935,-59.533,25.933,-1,-0.2,979.92,l,WSW,3,3,G.K,10,0,0,0,,,,,,,,
Solglimt,12/20/1935,-59.833,27.067,-2,-0.7,981.25,l,WSW,4,3,G.K,9,1,0,0,,,,,,,,
Solglimt,12/21/1935,-59.517,26.700,-1.2,-0.3,978.59,i,NE,4,3,K.A,19,1,0,0,,,,,,,,
Solglimt,12/22/1935,-59.617,27.133,0,-0.6,971.92,i,NW,4,4,K.A,2,2,2,0,,,,,,,,
Solglimt,12/23/1935,-59.967,27.483,0,-0.3,963.92,h,NW,4,5,K.A,3,0,0,0,,,,,,,,
Solglimt,12/24/1935,-61.217,30.033,-0.5,-0.7,962.59,l,W,3,4,K.A,4,0,0,1,,,,,,,,
Solglimt,12/25/1935,-60.700,29.617,0.5,-0.1,967.92,lg,WSW,4,4,K.A,2,1,0,0,,,,,,,,
Solglimt,12/26/1935,-59.617,28.983,-1,-0.5,977.25,d,WSW,3,4,K.A,10,7,0,0,,,,,,,,
Solglimt,12/27/1935,-59.483,29.183,-0.5,-0.1,991.92,d,NW,5,4,K.A,11,9,0,0,,,,,,,,
Solglimt,12/28/1935,-59.467,27.867,0,-0.3,986.59,h,NW,5,5,K.A,1,1,0,0,,,,,,,,
Solglimt,12/29/1935,-59.683,26.133,0.4,-0.6,993.25,h,NW,4,4,K.A,3,0,0,0,,,,,,,,
Solglimt,12/30/1935,-60.783,26.533,-1,-0.3,991.92,d,W,7,5,G.K,2,0,1,0,,,,,,,,
Solglimt,12/31/1935,-61.083,23.400,0,-0.8,989.25,li,WNW,6,5,K.A,0,0,0,1,,,,,,,,
Solglimt,1/1/1936,-60.750,19.150,-0.5,-0.7,983.92,i,N,5,4,K.A,0,0,0,0,,,,,,,,
Solglimt,1/2/1936,-60.333,17.217,0,-0.7,970.59,i,N,5,4,K.A,1,0,0,0,,,,,,,,
Solglimt,1/3/1936,-60.317,14.150,0,-0.9,966.59,ei,SW,5,4,K.A,3,0,0,4,,,,,,,,
Solglimt,1/4/1936,-60.333,12.000,-0.5,-0.9,969.25,e,NNW,3,3,K.A,3,0,0,14,,,,,,,,
Solglimt,1/5/1936,-60.583,11.883,-0.8,-0.8,979.92,ei,NNE,3,3,E.J,4,0,0,0,,,,,,,,
Solglimt,1/6/1936,-59.783,9.950,-1,-0.7,983.92,h,NNE,3,3,G.K,3,0,0,4,,,,,,,,
Solglimt,1/7/1936,-59.400,9.333,-1,-0.7,978.59,d,ESE,4,3,G.I,5,3,0,1,,,,,,,,
Solglimt,1/8/1936,-58.933,8.733,0,-0.5,977.25,ed,WSW,3,3,I.A,10,10,0,0,,,,,,,,
Solglimt,1/9/1936,-58.817,9.067,-0.6,-0.3,967.92,lg,SSE,2,3,I.A,9,15,0,0,,,,,,,,
Solglimt,1/10/1936,-58.717,8.967,-1,-0.3,963.92,lg,S,2,3,I.A,3,11,0,0,,,,,,,,
Solglimt,1/11/1936,-58.583,9.283,0,-0.2,967.92,d,NE,2.5,3,J.A,4,19,0,0,,,,,,,,
Solglimt,1/12/1936,-58.683,9.433,0,0,974.59,ed,NNE,2,3,K.A,2,25,0,0,,,,,,,,
Solglimt,1/13/1936,-58.533,9.100,0,0,974.59,e,S,5,4,K.A,0,11,0,1,,,,,,,,
Solglimt,1/14/1936,-58.850,8.267,0,0.2,979.92,ed,S,4,3,I.A,1,8,0,0,,,,,,,,
Solglimt,1/15/1936,-59.250,8.217,0,0.1,979.92,e,S,4,3,I.A,8,8,0,0,,,,,,,,
Solglimt,1/16/1936,-59.733,8.283,0,0.3,985.25,dlg,SW,5,4,K.A,4,12,0,0,,,,,,,,
Solglimt,1/17/1936,-60.167,8.317,0,0.2,990.59,hlg,WSW,5,4,K.A,1,4,0,2,,,,,,,,
Solglimt,1/18/1936,-60.117,9.483,-0.5,0.1,987.92,lg,NW,4,4,K.A,2,10,0,0,,,,,,,,
Solglimt,1/19/1936,-59.717,10.633,0,0.2,982.59,d,ESE,2,4,J.A,4,13,0,0,,,,,,,,
Solglimt,1/20/1936,-59.450,10.100,1,0.3,983.92,i,NNW,3,3,K.A,1,7,0,0,,,,,,,,
Solglimt,1/21/1936,-59.233,9.567,0.5,0.4,979.92,h,NW,3,3,J.A,1,11,0,0,,,,,,,,
Solglimt,1/22/1936,-58.700,9.300,0,0.3,977.25,li,NNE,4,3,K.A,2,5,0,0,,,,,,,,
Solglimt,1/23/1936,-58.867,10.983,0.2,0.7,974.59,h,S,5,4,J.A,1,2,0,0,,,,,,,,
Solglimt,1/24/1936,-59.550,12.333,0,0.5,993.25,h,SSW,3,4,K.A,4,6,1,0,,,,,,,,
Solglimt,1/25/1936,-60.033,13.467,0,1,991.92,h,N,6,5,J.A,1,19,0,0,,,,,,,,
Solglimt,1/26/1936,-61.250,15.683,2,0.7,966.59,e,NW,6,5,J.A,1,0,0,0,,,,,,,,
Solglimt,1/27/1936,-61.050,19.250,1,0.7,989.25,ed,WNW,5,5,I.A,4,2,0,0,,,,,,,,
Solglimt,1/28/1936,-60.467,19.950,1,0.8,998.58,eh,NNW,5,4,J.A,10,5,3,0,,,,,,,,
Solglimt,1/29/1936,-60.617,20.467,1,0.8,979.92,hi,NNW,4,4,J.A,4,10,16,0,,,,,,,,
Solglimt,1/30/1936,-60.883,21.617,2,1.2,983.92,he,NW,3,4,K.A,0,21,1,0,,,,,,,,
Solglimt,1/31/1936,-60.633,21.817,0.5,1,967.92,hi,NNW,3,4,K.A,5,5,11,0,,,,,,,,
Solglimt,2/1/1936,-60.833,22.100,1,1.4,966.59,d,SE,4,4,J.A,4,6,18,0,,,,,,,,
Solglimt,2/2/1936,-60.467,22.200,3,1.2,990.59,ed,NW,3,4,I.A,5,4,10,0,,,,,,,,
Solglimt,2/3/1936,-60.733,22.317,0,1.4,975.92,li,NE,8,5,K.A,2,4,15,0,,,,,,,,
Solglimt,2/4/1936,-61.233,21.617,1,1.2,965.25,lgd,ENE,5,4,I.A,4,2,3,0,,,,,,,,
Solglimt,2/5/1936,-61.183,21.400,1,1.1,981.25,e,SE,4,4,I.A,4,5,6,0,,,,,,,,
Solglimt,2/6/1936,-61.283,21.600,0,1,986.59,ed,WSW,5,4,I.A,6,8,12,0,,,,,,,,
Solglimt,2/7/1936,-61.750,21.800,1.5,1.2,974.59,ed,ESE,3,3,J.A,0,19,3,0,,,,,,,,
Solglimt,2/8/1936,-62.300,22.150,2,1.8,961.25,lg,SE,3,3,J.A,1,24,4,0,,,,,,,,
Solglimt,2/9/1936,-61.983,22.317,0,1.2,970.59,ed,S,5,4,J.A,1,8,1,0,,,,,,,,
Solglimt,2/10/1936,-62.200,21.683,0,1.2,982.59,elg,WNW,3,4,I.A,1,4,1,0,,,,,,,,
Solglimt,2/11/1936,-61.933,22.500,1.5,1.2,974.59,elg,WNW,4,4,J.A,1,9,1,0,,,,,,,,
Solglimt,2/12/1936,-64.033,22.500,1.5,1.6,963.92,ed,S,3,3,J.A,0,0,0,0,,,,,,,,
Solglimt,2/13/1936,-68.150,20.283,-2.5,1.2,971.92,ed,SE,3,2,K.A,4,7,0,0,,,,,,,,
Solglimt,2/14/1936,-68.333,19.433,-1,-0.1,961.25,e,ESE,8,5,C.K,8,0,0,0,,,,,,,,
Solglimt,2/15/1936,-68.800,18.617,-1,-1.4,959.92,l,ESE,4,4,K.A,4,4,0,0,,,,,,,,
Solglimt,2/16/1936,-68.400,20.800,-1.5,-0.7,966.59,e,ESE,3,3,K.A,1,2,0,3,,,,,,,,
Solglimt,2/17/1936,-68.650,19.717,-2,-0.1,971.92,e,SE,4,2,C.K,3,2,0,4,,,,,,,,
Solglimt,2/18/1936,-68.383,16.933,-3,-1.4,973.25,b,SW,2,2,C.K,6,11,0,0,,,,,,,,
Solglimt,2/19/1936,-68.417,16.733,-6,-0.9,973.25,e,SE,1,3,C.K,7,3,0,0,,,,,,,,
Solglimt,2/20/1936,-68.333,16.050,-2,-1.3,974.59,ed,ESE,3,3,C.K,7,5,0,0,,,,,,,,
Solglimt,2/21/1936,-68.450,15.250,-3,-0.8,979.92,d,S,2,3,C,3,0,0,0,,,,,,,,
Solglimt,2/22/1936,-68.317,11.783,-7,-0.9,983.92,d,ESE,2,2,C.K,8,3,0,0,,,,,,,,
Solglimt,2/23/1936,-67.967,11.283,-3,-0.4,967.92,bd,SW,4,2,K,4,7,0,0,,,,,,,,
Solglimt,2/24/1936,-67.883,11.117,-5,-0.4,975.92,ad,WSW,2,2,K,5,14,0,0,,,,,,,,
Solglimt,2/25/1936,-67.967,9.750,-3,0,993.25,e,SE,3,3,C.K,2,21,0,0,,,,,,,,
Solglimt,2/26/1936,-68.083,9.600,-3,-0.7,986.59,e,WSW,2,3,C.K,2,26,0,0,,,,,,,,
Solglimt,2/27/1936,-67.983,9.633,-3,-0.4,981.25,elg,NE,2,2,C.K,1,21,0,0,,,,,,,,
Solglimt,2/28/1936,-68.083,9.283,-0.5,-0.8,981.25,i,NNW,2,3,C.K,4,11,0,0,,,,,,,,
Solglimt,2/29/1936,-68.133,8.550,-1,-1.2,979.92,li,E,7,4,C.K,1,0,0,0,,,,,,,,
Solglimt,3/1/1936,-67.933,7.100,-5,-1.4,967.92,li,E,8,5,C,0,0,0,0,,,,,,,,
Solglimt,3/2/1936,-67.567,7.233,-7,-1.4,967.92,lg,E,6,4,C.K,0,0,0,0,,,,,,,,
Solglimt,3/3/1936,-67.633,8.083,-7,-1.3,973.25,e,SE,4,3,C.G.K,0,4,0,0,,,,,,,,
